District,Town,Date,Count
South Goa,Quepem,2020-07-13,15
South Goa,Raia,2020-07-13,3
South Goa,Sanguem,2020-07-13,4
North Goa,Sankhalim,2020-07-13,24
South Goa,Shiroda,2020-07-13,17
North Goa,Siolim,2020-07-13,0
North Goa,St. Cruz,2020-07-13,0
North Goa,St. Cruz – Cujira,2020-07-13,1
North Goa,St. Inez,2020-07-13,0
North Goa,Taleigao,2020-07-13,0
North Goa,Thivim,2020-07-13,1
Unknown,"Travelled by Road, Train, Flight",2020-07-13,125
South Goa,Tulip Diagnostics,2020-07-13,80
North Goa,Usgao,2020-07-13,5
North Goa,Valpoi,2020-07-13,22
South Goa,Vasco – Vaddem,2020-07-13,1
North Goa,Verem,2020-07-13,2
South Goa,Verna,2020-07-13,5
North Goa,Volvoi,2020-07-13,4
